"","x"
"1","HMGB2"
"2","CDK1"
"3","NUSAP1"
"4","UBE2C"
"5","BIRC5"
"6","TPX2"
"7","TOP2A"
"8","NDC80"
"9","CKS2"
"10","NUF2"
"11","CKS1B"
"12","MKI67"
"13","TMPO"
"14","CENPF"
"15","TACC3"
"16","FAM64A"
"17","SMC4"
"18","CCNB2"
"19","CKAP2L"
"20","CKAP2"
"21","AURKB"
"22","BUB1"
"23","KIF11"
"24","ANP32E"
"25","TUBB4B"
"26","GTSE1"
"27","KIF20B"
"28","HJURP"
"29","CDCA3"
"30","HN1"
"31","CDC20"
"32","TTK"
"33","CDC25C"
"34","KIF2C"
"35","RANGAP1"
"36","NCAPD2"
"37","DLGAP5"
"38","CDCA2"
"39","CDCA8"
"40","ECT2"
"41","KIF23"
"42","HMMR"
"43","AURKA"
"44","PSRC1"
"45","ANLN"
"46","LBR"
"47","CKAP5"
"48","CENPE"
"49","CTCF"
"50","NEK2"
"51","G2E3"
"52","GAS2L3"
"53","CBX5"
"54","CENPA"
